petromag_u,petromag_g,petromag_r,petromag_i,petromag_z,petror50_r,petror90_r,concentration,devab_r,u_g,g_r,r_i,i_z,target
18.731821,17.516222,16.930511,16.566525,16.291489,3.548782,7.225675,2.0360999914900377,0.348241,1.215599000000001,0.5857109999999999,0.3639860000000006,0.27503600000000006,elliptical
19.159889,17.247602,16.290241,15.846599,15.499255,2.161876,7.267354,3.361596132248103,0.884181,1.9122869999999992,0.9573609999999988,0.4436420000000023,0.34734399999999965,elliptical
19.001495,17.648972,17.03854,16.679037,16.567463,1.750546,4.029435,2.3018161190851316,0.74355,1.352522999999998,0.6104319999999994,0.35950300000000013,0.11157400000000095,elliptical
17.274323,15.342076,14.594376,14.233757,14.207717,8.312856,17.252628,2.0754152363519833,0.799838,1.9322469999999985,0.7477,0.3606189999999998,0.026040000000000063,spiral
19.373816,17.683142,16.770857,16.360521,16.008524,1.615346,4.288595,2.654907988752874,0.422616,1.6906740000000013,0.9122850000000007,0.4103360000000009,0.35199699999999723,elliptical
18.9361,17.548464,17.121115,16.900076,16.809748,3.076085,7.465497,2.4269475648429744,0.262563,1.3876360000000005,0.42734899999999953,0.2210390000000011,0.09032799999999952,elliptical
19.106913,17.302351,16.437674,16.077745,15.891517,2.075402,5.397432,2.6006682078941816,0.555926,1.8045619999999971,0.8646770000000004,0.35992900000000105,0.18622799999999984,elliptical
18.703716,17.646744,17.026842,16.640772,16.448015,1.784325,4.203508,2.3557972902918474,0.854364,1.0569719999999982,0.6199020000000033,0.38607000000000014,0.19275699999999674,elliptical
20.106232,17.9597,17.013861,16.480623,16.219099,3.05355,7.241149,2.3713870740613383,0.293238,2.146531999999997,0.945839000000003,0.5332379999999972,0.2615240000000014,elliptical
19.877079,17.945606,16.941952,16.505512,16.181995,1.702457,5.148236,3.024003543114451,0.927823,1.9314729999999969,1.003654000000001,0.43644000000000105,0.32351699999999894,elliptical
18.111151,16.810762,16.190504,15.815699,15.604967,2.02367,5.596737,2.7656371839282095,0.738874,1.3003889999999991,0.6202579999999998,0.3748050000000003,0.21073200000000014,elliptical
19.487661,17.944971,16.941311,16.48822,16.199806,2.021328,5.998027,2.9673694719511134,0.801664,1.5426900000000003,1.00366,0.4530910000000006,0.2884139999999995,elliptical
18.706614,17.203808,16.450544,16.038172,15.746837,2.099866,5.171659,2.4628519153126915,0.599961,1.5028059999999996,0.7532639999999979,0.4123720000000013,0.2913350000000001,elliptical
18.119568,16.302914,15.441951,15.032856,14.725548,3.740625,11.231225,3.002499582289056,0.777111,1.8166539999999998,0.8609630000000017,0.4090949999999989,0.3073080000000008,elliptical
18.171021,16.377462,15.514827,15.128402,14.902261,3.927482,12.293932,3.1302325510339704,0.832504,1.7935589999999983,0.8626350000000009,0.3864250000000009,0.22614100000000015,elliptical
17.404547,16.132929,15.419897,15.047778,14.824596,6.014991,11.950007,1.9867040532562723,0.571256,1.2716180000000001,0.7130320000000001,0.3721190000000014,0.22318199999999955,spiral
20.409645,18.288002,17.07345,16.551895,16.199814,2.744416,8.140574,2.9662317957627415,0.811799,2.1216430000000024,1.2145519999999976,0.5215550000000029,0.3520809999999983,elliptical
18.635242,17.030231,16.144855,15.721098,15.46726,2.750445,8.838137,3.2133480218655524,0.704998,1.605011000000001,0.8853760000000008,0.42375700000000016,0.253838,elliptical
19.062773,17.269878,16.288315,15.838889,15.492447,2.039191,6.638927,3.25566707581585,0.71922,1.7928950000000015,0.9815629999999977,0.44942600000000077,0.3464419999999997,elliptical
16.03241,13.972116,13.280806,12.931058,12.763931,10.849973,27.89679,2.5711391171203837,0.631622,2.060293999999999,0.6913099999999996,0.34974799999999995,0.1671270000000007,spiral
20.21386,18.102427,16.986671,16.539938,16.237667,2.890624,8.652188,2.993190397644246,0.89736,2.1114330000000017,1.1157559999999975,0.4467330000000018,0.30227100000000107,elliptical
19.751518,17.931055,16.971502,16.554131,16.211346,1.746311,5.033216,2.882199104283258,0.746919,1.8204630000000002,0.9595529999999997,0.41737099999999927,0.3427850000000028,elliptical
19.723783,17.734602,16.851534,16.477247,16.126093,2.241916,6.039561,2.693928318456178,0.518024,1.989181000000002,0.883067999999998,0.3742870000000025,0.3511539999999975,elliptical
17.896845,16.669941,16.172911,15.889689,15.701988,2.567106,7.969387,3.104424593296888,0.728095,1.2269039999999976,0.4970300000000023,0.28322199999999853,0.18770100000000056,spiral
18.69277,17.74394,16.863941,16.471834,16.309076,3.9919,12.586999,3.1531348480673365,0.580557,0.948830000000001,0.879998999999998,0.3921069999999993,0.16275800000000018,elliptical
19.268826,17.014706,16.089899,15.666801,15.244941,4.088688,10.809773,2.6438243759367306,0.580891,2.2541200000000003,0.9248070000000013,0.42309799999999953,0.4218599999999988,spiral
18.907219,17.617628,16.995838,16.60668,16.414726,1.758568,4.471499,2.542693259515697,0.756862,1.2895910000000015,0.6217900000000007,0.38915799999999834,0.19195399999999907,elliptical
18.248922,17.088867,16.276707,15.856542,15.678228,3.832314,10.283666,2.683409031723392,0.597516,1.1600549999999998,0.8121600000000022,0.420164999999999,0.17831399999999853,spiral
18.729685,17.421625,17.033775,16.767441,16.655302,3.079942,6.684706,2.170399962077208,0.634628,1.308060000000001,0.38785000000000025,0.26633399999999696,0.11213900000000265,spiral
18.443319,17.592651,16.988281,16.577101,16.361712,1.590798,4.45658,2.801474480103696,0.847774,0.8506679999999989,0.6043699999999994,0.41118000000000166,0.21538899999999828,elliptical
17.778402,15.976749,15.243456,14.892106,14.676253,6.411043,13.123773,2.0470573976808453,0.483319,1.801653,0.7332929999999998,0.35135000000000005,0.21585299999999918,spiral
20.489853,17.810385,16.764055,16.301674,15.916248,2.024053,6.484178,3.203561369193396,0.819451,2.679468,1.046330000000001,0.4623810000000006,0.38542599999999894,elliptical
18.302368,16.350313,15.448764,15.014187,14.678008,2.868723,9.164374,3.1945830949868634,0.699997,1.9520550000000014,0.9015489999999993,0.4345770000000009,0.33617899999999956,elliptical
